ID,Text,Sentiment
P34,Hi Yero Michell : Terroui Wanna get FREE iPhone 6? Kindly check my bi0 :) Thx https://t.co/AbuTu90jcu,positive
P35,Hi SpecialOfficer Doofy : iTzDrayOx_95 Wanna get FREE iPhone 6? Kindly check my bi0 :) Thx https://t.co/z1FvWm0oX9,positive
P36,Hi Madelyn Clyburn : MadelynClyburn Wanna get FREE iPhone 6? Kindly check my bi0 :) Thx https://t.co/pFAeFfzRd5,positive
P37,Hi Anthony : antjones0007 Wanna get FREE iPhone 6? Kindly check my bi0 :) Thx https://t.co/HTUhKqhmMO,positive
P38,Hi Mike-Mike : MikeMikeSoDope Wanna get FREE iPhone 6? Kindly check my bi0 :) Thx https://t.co/dP8G1Hh6lp,positive
P39,Hi Be : bRealEasy Wanna get FREE iPhone 6? Kindly check my bi0 :) Thx https://t.co/IS41zpEeA2,positive
P40,@stroughtonsmith the first iPhone wasnt cheap and that was in 2007 dollars :),positive
P41,Hi Raymart / Thanks 5H : Raaymaart Do u want to get FREE iPhone 6? Please check my bi0 :) Thx https://t.co/Yn6ENxQtzv,positive
P42,Hi BLACKHAWKS2015CHAMPS : 2ndlast2rise Do u want to get FREE iPhone 6? Please check my bi0 :) Thx https://t.co/mcnh3dChB9,positive
P43,Hi  Diamond : _Blaque_D Do u want to get FREE iPhone 6? Please check my bi0 :) Thx https://t.co/l71Fc8SnWO,positive
P44,Hi muzammil khan : muz_123 Do u want to get FREE iPhone 6? Please check my bi0 :) Thx https://t.co/tfvai791SK,positive
P45,Hi Bri  : PrettyBriSimone Do u want to get FREE iPhone 6? Please check my bi0 :) Thx https://t.co/1qEwU2YODq,positive
P46,Hi Jake M : jmac3412 Do u want to get FREE iPhone 6? Please check my bi0 :) Thx https://t.co/QKjCaKGkMQ,positive
P47,Hi Harlow : HarlowRaine_RP Do u want to get FREE iPhone 6? Please check my bi0 :) Thx https://t.co/d41sZwZybu,positive
P48,Oh ya iPhone launch day @TMobile 17 hour shift :) #BigMoney #ExcitedCustomers,positive
P49,Hi Con : Connnnnnn_ Do you want to get FREE iPhone 6? Hurry check my bi0. Thx :) https://t.co/zHASPOoUW9,positive
P50,Hi Melony : xMelCole Do you want to get FREE iPhone 6? Hurry check my bi0. Thx :) https://t.co/sOwV8qtgoD,positive
P51,Hi Thorin : thorin72 Do you want to get FREE iPhone 6? Hurry check my bi0. Thx :) https://t.co/U0ehws5Yni,positive
P52,Hi faishhh : faishaljailani Do you want to get FREE iPhone 6? Hurry check my bi0. Thx :) https://t.co/HEgTNAD8Ka,positive
P53,Hi Christieeee : wilsonchristiex Do you want to get FREE iPhone 6? Hurry check my bi0. Thx :) https://t.co/nTZ36sri5D,positive
P54,Hi Evan Love : EvanLove9 Do you want to get FREE iPhone 6? Hurry check my bi0. Thx :) https://t.co/jtuWCvsHI0,positive
P55,Hi BRANDON COREY : Bcorey14 Do you want to get FREE iPhone 6? Hurry check my bi0. Thx :) https://t.co/Cxc67IXeTe,positive
P56,amazing ! i just got iphone 6 from this link : http://t.co/2h8Z3Fk28N :),positive
P57,Gonna get my iPhone 6s around 12 :),positive
P58,@tatotiee i know you like iPHONE :),positive
P59,Hi DeMarko Gage :) : DeMarko_Gage Do u wanna get a BRAND NEW iPhone 6 for FREE? Please check my Bi0 :D Thx https://t.co/8cJktOJBqF,positive
P60,Hi Smile :) : Sunshinegrl38 Do u wanna get a BRAND NEW iPhone 6 for FREE? Please check my Bi0 :D Thx https://t.co/CPRWoxe4Yi,positive
P61,I'll be doing an Article on the #iphone6s later on today and a review too shortly. ISO #3Dtouch is cool :) you will like it,positive
P62,Hi k a y l a m a r i e : kayla_shackle Wanna get FREE iPhone 6? Kindly check my bi0 :) Thx https://t.co/nTJABgZv8U,positive
P63,Hi I'm Here to Slay!  : SayDrizzy Wanna get FREE iPhone 6? Kindly check my bi0 :) Thx https://t.co/jB7x2VDqdj,positive
P64,Hi Create 5K : FiveKayVFX Wanna get FREE iPhone 6? Kindly check my bi0 :) Thx https://t.co/2P9AXYoJVu,positive
P65,Hi Adriana Floridia : adrifloridia Wanna get FREE iPhone 6? Kindly check my bi0 :) Thx https://t.co/w9iE1Uw1o4,positive
P66,Hi SHROOM QUEEN : Curlyy_Sue_ Wanna get FREE iPhone 6? Kindly check my bi0 :) Thx https://t.co/wGOGYNIFhj,positive
P67,Hi Tiece. : TrillxQveen Wanna get FREE iPhone 6? Kindly check my bi0 :) Thx https://t.co/L2HFkYZui7,positive
P68,Hi Curtis Covell-London : Curtisdee1995 Wanna get FREE iPhone 6? Kindly check my bi0 :) Thx https://t.co/kXZEy2HhSn,positive
P69,Hi APHRODITE HOOKER : Gaga_Slays_You Wanna get FREE iPhone 6? Kindly check my bi0 :) Thx https://t.co/J1mA68hwwz,positive
P70,Hi tie : Taishaaaa Wanna get FREE iPhone 6? Kindly check my bi0 :) Thx https://t.co/RWWpQ26O7m,positive
P71,Hi Monty Icenogle : kd6cae Wanna get FREE iPhone 6? Kindly check my bi0 :) Thx https://t.co/txrM9U79Ql,positive
P72,Hi Jasmene  : Jasmene Wanna get FREE iPhone 6? Kindly check my bi0 :) Thx https://t.co/1V6Qa4Ky32,positive
P73,Hi gemma : gemmamilesxo Wanna get FREE iPhone 6? Kindly check my bi0 :) Thx https://t.co/kTSjaPqcGK,positive
P74,Hi Thomas Flores : ThomasFlores22 Wanna get FREE iPhone 6? Kindly check my bi0 :) Thx https://t.co/uhdtOzuGHR,positive
P75,Hi hails : haleyxObreann Wanna get FREE iPhone 6? Kindly check my bi0 :) Thx https://t.co/zZJqLHJadr,positive
P76,Hi VUJ-Ginger : AsapGinger1 Wanna get FREE iPhone 6? Kindly check my bi0 :) Thx https://t.co/yU1349hza1,positive
P77,Hi m. : y0ur_mockingjay Wanna get FREE iPhone 6? Kindly check my bi0 :) Thx https://t.co/ErAF9jPmkB,positive
P78,@claude_eustace I used the flash on my iPhone to amp up the color and then just enhanced the contrast in IG :),positive
P79,"My cellular data doesn't work anymore, hate u ios9 :)",positive
N1,I've had an IPhone for like 3 years and I've never done that  :( hate ma life,negative
N2,I dont need the new iphone but I want it :(,negative
N3,fuck the iPhone 6s cus I'm not getting one :(,negative
N4,Hopefully will be able to get my iPhone 6s today :( Plane gets in at like 11:30 :/,negative
N5,@clydesdalebank I've just bought a new iPhone and I can't use Apple Pay because you don't support it. When will I get to use it? :(,negative
N6,The new iphone is out today but mine doesn't come til next week :( &lt,negative
N7,Also have to work an iPhone launch at t-mobile :(,negative
N8,@O2 I ended up ringin in my break.. i ordered iphone 6s which in now coming to me on Monday and not today :( bit gutted but fingers crossed,negative
N9,@reviewero iPhone 5 was the best iPhone ever. And this makes me feel so nostalgic. :(,negative
N10,@mitsuhiko scared to update to iOS9 as i don't know what that means for my iTunes match subscription :(,negative
N11,There is a high chance that I will not have my iPhone when I get home :( I think I missed the delivery...,negative
N12,@JohnLegere . Why is the inventory of iPhone 6sPlus 128GB Rose Gold already out of stock. I was at a corporate store by 8 am. :(,negative
N13,need my iphone back lol i can't fade this phone :(,negative
N14,"Everyone talking about iPhone day, Im studying for an exam :(",negative
N15,"@3minutegames Upgraded to iPhone 6s today, restored from backup... lost all progress in the Lifeline games :(",negative
N16,@sprintnews so mad i didn't know direct 2 u was an option for iphone pre ordering!!!! :( next time!! im in Bmore :) BEST service ever.,negative
N17,@EE this is my wife's phone. I'm stuck with no o2 service until next years iPhone :(,negative
N18,Grrrrrrr Got the new iPhone but it won't connect to my work (and only) wifi :(,negative
N19,Wish I'd just waited a few months and got the iPhone 6s instead of the 6 :( :( :(,negative
N20,"@PolarGlobal Polar Beat still doesn't work with Polar H6 on iOS9, please help me to fix it! Disappointed :(",negative
N21,I want Iphone 6s :( https://t.co/lv6Ml03If6,negative
N22,@katoi It wasn't even for an iPhone! :( and I never got my order as he simply took a picture of my office building and left!,negative
N23,@flinto  I have problems with scrolling through the flinto prototype on my iPhone 6 :( anyone has same problems? #flinto How to fix it?,negative
N24,Woke up really early to get in line for the iphone 6s and theres only one person here :(,negative
N25,Annoyed Apple haven't let me set a parcel drop-off place for iPhone release so delivery failed. Daft they don't allow it for pre-orders. :(,negative
N26,"@tim_cook can you PLEASE consider more options for (black) iPhone 7?! There's like 3 white iPhones, and only 1 black iPhone right now. :(",negative
N27,Sick today :( However I get the new iPhone 6s!!!,negative
N28,c trop cool sur iPhone idk :(,negative
N29,My iPhone is sticky :(,negative
N30,"Apple just makes me feel the happiest boy in the world, even having only an iPhone 4 :( #loveyouapple #fanboy @tim_cook",negative
N31,Just about to make a deal for my iPhone and fucking fire alarm goes off and have to evacuate :(,negative
N32,@NikiAlbon what are the emojis I don't have ios9  :(,negative
N33,No iPhone 6s Plus at the Verizon I went to :( #bummer #myluck #preorder #illwait,negative
N34,@MyPapoose Oh my iPhone says its not coming until Tuesday :( Ive got other stuff coming too thats promised for today.,negative
N35,Takin out loans for the iPhone :(,negative
N36,"@d_trw @NatalyaLim yds , I want get iphone6s plus rose gold de :(",negative
N37,When you're sitting there waiting for the UPS truck for your new iphone :) :(,negative
N38,Iphone 5s? :(,negative
N39,@IHarr_Empires I WANNA iPHONE TOO! I HAVE NO PHONE :(,negative
N40,"@emohrberg @DRoessl maybe some of us like our iPhone Fives, damn it. :( (not to be confused with 5s)",negative
N41,@MsCharlotteX :( Today is the iPhone 6S release date. Maybe Apple is causing phones to self destruct to force more upgrades.,negative
